C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score
S100A10,1.5163859,2.7357697351824088e-210,31.148617,EHBP1L1,1.5070324,9.419420359807438e-32,12.079246,CIR1,2.5043707,2.974862411422525e-98,21.300001,HPGDS,4.895453,0.0,48.51302,SLC18A2,2.4285877,9.240710223475163e-62,16.868156,FGR,1.4243379,4.082175236597212e-298,37.072136,NCAPG,5.429459,6.234236228318178e-46,14.645092,G0S2,4.340038,4.663156146014922e-166,27.688736,AGPAT1,3.5835283,0.0362771306114385,3.8186023,CEBPE,5.637119,1.1015701279393306e-17,8.995788,LGALS1,2.2707074,1.9501896109284812e-20,9.870145
CPVL,1.9042696,1.4493028669666058e-206,30.871473,KIF1B,1.9497017,8.181897721916781e-31,11.895814,HS3ST2,1.4553018,2.758319037249438e-97,21.192766,NSMCE1,3.3729208,0.0,48.3057,RGS2,2.5607631,1.0314397563475337e-58,16.443752,IL1A,1.8038328,7.151302184313471e-295,36.869514,HMGB2,2.4371169,2.937510117280692e-45,14.537745,EHD1,1.9312927,5.4703297374779006e-157,26.92402,ASAP2,9.370294,0.0362771306114385,3.818218,TRGC2,2.9898787,1.3474898168017568e-17,8.972773,GAS6,7.7313924,3.920061927392932e-20,9.797944
PLBD1,3.9633389,6.045230271974841e-206,30.824337,CSF1,1.0326759,1.6106685927961192e-28,11.4335785,SRPRA,1.6333116,9.501894723198399e-97,21.13381,C5orf22,3.980248,0.0,48.277126,TMEM154,2.4697309,1.716256991520204e-57,16.270287,MAN2B1,1.4122684,5.467155036312511e-293,36.751045,KIF11,4.3665524,2.7023242411288566e-44,14.383426,TNFSF13,1.612523,1.8256660277424296e-156,26.878317,DNM3,8.684396,0.037186096165959595,3.8084445,MCL1,0.86481047,2.120782638497635e-17,8.9201565,CTTN,6.73507,5.800187526454078e-20,9.754525
LHFPL2,1.8878376,7.609737062782298e-205,30.74128,EID3,3.2517383,1.7135368418871084e-28,11.427931,CSTB,1.2509234,3.966027905231224e-96,21.06498,STK17B,2.8009992,0.0,48.061317,NFATC3,2.1642332,6.768433078367497e-55,15.893762,ADAMTSL4,1.6066756,1.6959203911223065e-290,36.59399,PCLAF,4.287308,1.6025287977650314e-43,14.256629,ITGB2,1.5230045,2.063870868666666e-151,26.440603,ELF1,2.5738955,0.03738632912094731,3.8035028,PIM1,1.4499727,2.3244100692277732e-17,8.909092,PRSS23,7.110883,6.623235726788744e-20,9.738911
RASSF4,1.9226496,1.94701342297655e-198,30.257166,FGR,1.0871536,8.399927590223402e-28,11.284487,FDX1,1.4831213,2.5414425837538454e-95,20.97619,ABCC4,5.2541547,0.0,47.961605,TXNIP,1.5068831,1.097879652112086e-53,15.716178,UBL3,1.5736573,2.1257058104069967e-288,36.46112,NUSAP1,3.4291878,3.586130934612611e-43,14.19731,FCER1G,1.0580066,2.7298106273474662e-151,26.429129,RGS18,7.1815186,0.04183393786697116,3.7606757,G0S2,3.083307,8.9548805989873e-17,8.750212,COL1A2,7.6234355,8.710402185168241e-20,9.706129
PECAM1,2.2993019,2.415272545701594e-193,29.866611,RUNX1,1.4609805,5.5553264805027945e-27,11.111746,WARS,1.2072197,4.19727351845224e-94,20.84115,PTGS2,4.4163036,0.0,47.682457,BACE2,2.2607732,6.0668918135383e-53,15.605837,PPARG,1.5274016,1.2329972581798027e-281,36.031094,USP1,2.6225352,7.1480434213095575e-43,14.147431,METTL9,1.7506816,5.858157998020302e-150,26.312132,LRRC32,7.2076635,0.04183393786697116,3.7554045,STK17B,1.5500262,6.665946743045952e-16,8.507282,GNG12,4.610091,3.4998804807733943e-19,9.556386
CTSS,1.6408874,4.048969008157596e-192,29.771345,STX4,2.0532048,1.418389272472329e-26,11.026496,GOLGA5,2.0797942,3.904131428625482e-92,20.62181,BHLHE40,1.6661485,0.0,46.961193,IFITM2,2.45534,9.236562808968409e-52,15.427604,CTSD,1.3037342,4.674365258907315e-281,35.99343,SPAG5,3.7873402,2.116019602421002e-41,13.905676,MCEMP1,1.7376453,1.6753025963604182e-149,26.270496,PRKAR2B,6.835706,0.04479538435080119,3.7181778,NAMPT,1.3071061,1.1469230781873017e-15,8.440774,PXDN,9.073618,9.804518931359414e-19,9.444276
SAMHD1,1.6232288,6.799070162435804e-192,29.753141,EMILIN2,1.1169288,1.7080487531833607e-26,11.008288,BHLHE41,1.3956082,1.980058861448329e-91,20.542513,CST7,3.3099375,0.0,46.5008,HIST1H1B,3.2992423,1.5526276435426146e-51,15.393121,HBEGF,1.7743425,5.591083198860794e-281,35.98779,GMNN,3.518966,7.986491804471764e-41,13.808896,ACSL1,1.58045,9.655971102903235e-149,26.202997,CCL5,6.151918,0.04704012941451741,3.702694,LSP1,1.6223122,1.4378633315923576e-15,8.413222,SELENOM,4.12706,1.4178151186098184e-18,9.403985
MS4A4A,4.0405154,3.106843418629829e-187,29.38992,STK10,1.9815577,1.823543555617635e-24,10.566615,YKT6,1.3702418,8.62813197166568e-91,20.470316,GCSAML,4.535493,0.0,46.416634,FXYD5,0.8432805,4.915159048945718e-50,15.166748,HCK,1.4899578,4.459417986897063e-278,35.801132,SHCBP1,4.765432,8.054714796139661e-41,13.806884,PFKFB3,2.0262656,4.9664139607532e-145,25.87366,FRMD4B,6.2262516,0.04937721614951072,3.6752956,PGD,1.1131963,1.5119214325498085e-15,8.40678,LOXL2,7.2223477,2.2648790742677652e-18,9.348461
CST3,1.411004,4.644607442397584e-187,29.37547,SQSTM1,0.78651464,1.8889357238178144e-24,10.562865,SCYL1,1.7244271,9.75779437528085e-91,20.463734,RGS10,3.1011646,0.0,46.357037,ARHGDIB,1.1850775,1.5248882092463518e-49,15.091933,MCOLN1,1.4046792,1.75475241663313e-275,35.63333,LMNB1,2.6677387,1.3487881871723736e-40,13.768312,IFI30,1.6762841,2.5053841033982273e-139,25.35795,DUSP7,5.7369504,0.05148004454285607,3.6581645,IVNS1ABP,1.0995926,4.1631042800330755e-15,8.281117,MMP14,3.2420173,5.8039029064569845e-18,9.243967
